ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,expiry_rank,generic,rollover,adj_price,adj_ratio
IF2102.CFX,20210115,5479.0,5484.6,5493.0,5507.8,5391.2,5448.0,5457.8,-36.6,-26.8,97600.0,15987307.944,81606.0,24121.0,IF,20201221,20210219,1.0,IFc1,1,5437.2,1.0
IF2103.CFX,20210218,5787.2,5787.8,5899.8,5913.2,5708.4,5735.8,5734.2,-52.0,-53.6,105675.0,18397564.002,135367.0,19817.0,IF,20200720,20210319,2.0,IFc2,1,5709.6,1.0
IF2104.CFX,20210319,5079.4,5072.6,5016.0,5029.0,4902.0,4941.0,4928.8,-131.6,-143.8,118670.0,17693435.16,115031.0,29647.0,IF,20210222,20210416,1.0,IFc1,1,4905.3,1.0
IF2105.CFX,20210415,4939.2,4942.4,4928.4,4932.2,4855.8,4918.2,4905.0,-24.2,-37.4,64942.0,9529840.098,72332.0,33707.0,IF,20210322,20210521,2.0,IFc2,1,4907.2,1.0
IF2106.CFX,20210520,5151.0,5148.4,5143.2,5184.6,5126.4,5172.2,5173.8,23.8,25.4,81764.0,12658258.416,140132.0,24955.0,IF,20201019,20210618,2.0,IFc2,1,5099.9,1.0
IF2107.CFX,20210618,5060.2,5058.8,5059.2,5099.0,5026.8,5062.8,5073.6,4.0,14.8,98545.0,14965751.856,111625.0,28357.0,IF,20210524,20210716,1.0,IFc1,1,5046.3,1.0
IF2108.CFX,20210715,5052.4,5055.4,5054.0,5137.0,5039.8,5129.0,5128.2,73.6,72.8,65946.0,10077604.356,73250.0,33430.0,IF,20210621,20210820,2.0,IFc2,1,5088.0,1.0
IF2109.CFX,20210819,4850.8,4851.8,4844.0,4856.2,4790.8,4814.2,4815.0,-37.6,-36.8,77235.0,11177191.77,130066.0,23221.0,IF,20210118,20210917,2.0,IFc2,1,4843.7,1.0
IF2110.CFX,20210916,4852.2,4840.6,4852.2,4866.4,4789.0,4799.4,4803.8,-41.2,-36.8,63467.0,9179180.592,78084.0,34168.0,IF,20210823,20211015,2.0,IFc2,1,4799.4,1.0
IF2111.CFX,20211015,4901.2,4907.0,4893.0,4943.6,4874.0,4933.0,4933.2,26.0,26.2,57139.0,8435745.786,64465.0,17140.0,IF,20210922,20211119,1.0,IFc1,1,4927.3,1.0
IF2112.CFX,20211118,4881.8,4880.0,4869.6,4869.8,4818.0,4830.2,4831.6,-49.8,-48.4,57038.0,8280169.998,110511.0,19851.0,IF,20210419,20211217,2.0,IFc2,1,4871.7,1.0
IF2201.CFX,20211217,5048.2,5042.2,5038.0,5043.0,4973.4,4976.2,4979.4,-66.0,-62.8,64707.0,9705636.702,81169.0,17690.0,IF,20211122,20220121,1.0,IFc1,1,4976.2,1.0
IF2202.CFX,20220121,4833.8,4840.2,4824.0,4835.0,4782.2,4805.2,4797.2,-35.0,-43.0,58045.0,8371674.858,61951.0,11872.0,IF,20211220,20220218,1.0,IFc1,1,4800.8,1.0
IF2203.CFX,20220217,4612.0,4609.6,4611.2,4652.4,4600.6,4619.6,4622.6,10.0,13.0,52327.0,7263753.462,117010.0,17158.0,IF,20210719,20220318,2.0,IFc2,1,4501.8,1.0
IF2204.CFX,20220317,4140.0,4139.8,4230.0,4280.0,4193.8,4210.2,4214.2,70.4,74.4,73536.0,9328277.1,81872.0,21470.0,IF,20220221,20220415,2.0,IFc2,1,4210.2,1.0
IF2205.CFX,20220415,4184.6,4199.0,4160.0,4209.0,4150.8,4182.4,4186.8,-16.6,-12.2,74925.0,9397352.85,76695.0,14394.0,IF,20220321,20220520,1.0,IFc1,1,4156.7,1.0
IF2206.CFX,20220519,3958.0,3970.6,3917.4,3974.8,3914.0,3972.4,3963.0,1.8,-7.6,76311.0,9026520.264,127482.0,22486.0,IF,20211018,20220617,2.0,IFc2,1,3990.7,1.0
IF2207.CFX,20220617,4211.4,4220.4,4197.8,4293.4,4192.2,4277.2,4273.6,56.8,53.2,99287.0,12638788.614,96698.0,22557.0,IF,20220523,20220715,1.0,IFc1,1,4277.2,1.0
IF2208.CFX,20220715,4294.0,4290.0,4286.0,4335.6,4208.4,4210.0,4240.2,-80.0,-49.8,87959.0,11303998.392,77590.0,25082.0,IF,20220620,20220819,1.0,IFc1,1,4201.5,1.0
IF2209.CFX,20220818,4206.8,4212.6,4200.0,4208.4,4162.6,4170.6,4171.6,-42.0,-41.0,51704.0,6481782.318,110581.0,12416.0,IF,20220124,20220916,2.0,IFc2,1,4190.6,1.0
IF2210.CFX,20220916,4029.0,4022.0,4020.0,4026.2,3932.2,3937.2,3944.0,-84.8,-78.0,67811.0,8087376.054,80470.0,19866.0,IF,20220822,20221021,1.0,IFc1,1,3930.3,1.0
IF2211.CFX,20221020,3768.6,3774.2,3749.8,3808.0,3723.4,3754.4,3751.4,-19.8,-22.8,48644.0,5481798.618,53758.0,22959.0,IF,20220919,20221118,2.0,IFc2,1,3764.6,1.0
IF2212.CFX,20221117,3844.6,3846.6,3824.0,3829.8,3782.0,3827.6,3814.6,-19.0,-32.0,70050.0,8001362.82,126309.0,20915.0,IF,20220418,20221216,2.0,IFc2,1,3746.0,1.0
IF2301.CFX,20221216,3966.2,3966.8,3954.0,3980.6,3943.8,3973.4,3964.0,6.6,-2.8,70860.0,8418382.074,91675.0,25015.0,IF,20221121,20230120,1.0,IFc1,1,3973.4,1.0
IF2302.CFX,20230120,4174.2,4168.8,4191.8,4212.4,4181.8,4192.4,4194.6,23.6,25.8,47080.0,5923859.838,62722.0,9762.0,IF,20221219,20230217,1.0,IFc1,1,4200.8,1.0
IF2303.CFX,20230216,4127.4,4124.8,4132.8,4183.0,4074.8,4098.2,4111.4,-26.6,-13.4,80177.0,9958373.724,124847.0,26806.0,IF,20220718,20230317,2.0,IFc2,1,4095.2,1.0
IF2304.CFX,20230317,3942.8,3947.8,3970.0,4021.6,3943.4,3964.0,3964.4,16.2,16.6,87013.0,10397733.42,80237.0,22164.0,IF,20230220,20230421,1.0,IFc1,1,3964.0,1.0
IF2305.CFX,20230421,4114.2,4113.4,4117.2,4123.0,4037.0,4038.2,4049.2,-75.2,-64.2,60126.0,7360461.0,64327.0,17770.0,IF,20230320,20230519,1.0,IFc1,1,4025.9,1.0
IF2306.CFX,20230518,3949.8,3946.8,3958.8,3978.4,3925.0,3941.8,3940.0,-5.0,-6.8,54075.0,6413832.066,119515.0,15455.0,IF,20221024,20230616,2.0,IFc2,1,3910.7,1.0
IF2307.CFX,20230616,3894.2,3889.6,3900.0,3944.2,3900.0,3931.2,3936.4,41.6,46.8,60624.0,7131544.23,89283.0,13861.0,IF,20230522,20230721,1.0,IFc1,1,3935.5,1.0
IF2308.CFX,20230720,3858.0,3853.6,3873.0,3885.2,3821.2,3829.0,3835.0,-24.6,-18.6,41590.0,4809010.182,58385.0,23130.0,IF,20230619,20230818,2.0,IFc2,1,3838.8,1.0
IF2309.CFX,20230816,3861.8,3856.0,3844.6,3865.2,3830.0,3831.0,3836.4,-25.0,-19.6,46800.0,5397285.924,154573.0,9683.0,IF,20230130,20230915,2.0,IFc2,1,3865.2,1.0
IF2310.CFX,20230915,3742.0,3734.2,3748.8,3757.0,3706.0,3726.6,3717.2,-7.6,-17.0,79684.0,8921231.412,110121.0,29174.0,IF,20230821,20231020,1.0,IFc1,1,3728.7,1.0
IF2311.CFX,20231019,3617.8,3619.6,3600.0,3601.8,3533.8,3538.6,3546.0,-81.0,-73.6,54325.0,5810742.024,77690.0,31120.0,IF,20230918,20231117,2.0,IFc2,1,3538.6,1.0
