,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,expiry_rank,generic,rollover
7625,IF2104.CFX,20210311,4974.2,4993.4,5000.0,5107.6,4993.6,5094.4,5069.4,101.0,76.0,10464.0,1590812.9219999998,18441.0,2423.0,IF,20210222,20210416,2.0,IFc2,
6332,IF2106.CFX,20210311,4918.0,4941.0,4946.0,5049.2,4938.0,5042.0,5016.6,101.0,75.6,26044.0,3916819.17,60578.0,2869.0,IF,20201019,20210618,3.0,IFc3,
5669,IF2103.CFX,20210312,5112.0,5086.2,5127.2,5131.6,5057.0,5120.0,5108.8,33.8,22.6,115499.0,17665896.372,117097.0,-5897.0,IF,20200720,20210319,1.0,IFc1,
7626,IF2104.CFX,20210312,5094.4,5069.4,5105.0,5116.8,5043.4,5103.6,5094.2,34.2,24.8,10886.0,1660702.6619999998,20147.0,1706.0,IF,20210222,20210416,2.0,IFc2,
6333,IF2106.CFX,20210312,5042.0,5016.6,5050.8,5060.0,4986.8,5042.6,5033.4,26.0,16.8,22577.0,3405051.6180000002,60593.0,15.0,IF,20201019,20210618,3.0,IFc3,
5670,IF2103.CFX,20210315,5120.0,5108.8,5100.0,5105.0,4973.6,5028.8,5003.2,-80.0,-105.6,122174.0,18469134.144,114642.0,-2455.0,IF,20200720,20210319,1.0,IFc1,
7627,IF2104.CFX,20210315,5103.6,5094.2,5086.4,5090.0,4957.6,5009.8,4982.6,-84.4,-111.6,17398.0,2617983.828,26636.0,6489.0,IF,20210222,20210416,2.0,IFc2,
6334,IF2106.CFX,20210315,5042.6,5033.4,5028.0,5030.0,4901.2,4954.2,4929.0,-79.2,-104.4,23258.0,3462883.062,62862.0,2269.0,IF,20201019,20210618,3.0,IFc3,
5671,IF2103.CFX,20210316,5028.8,5003.2,5043.8,5079.0,5004.0,5053.2,5051.6,50.0,48.4,107522.0,16280952.972000001,98087.0,-16555.0,IF,20200720,20210319,1.0,IFc1,
7628,IF2104.CFX,20210316,5009.8,4982.6,5019.8,5060.6,4985.2,5032.6,5030.8,50.0,48.2,21437.0,3233499.858,34323.0,7687.0,IF,20210222,20210416,2.0,IFc2,
6335,IF2106.CFX,20210316,4954.2,4929.0,4970.2,4999.0,4926.6,4971.0,4970.8,42.0,41.8,22117.0,3297476.9039999996,64873.0,2011.0,IF,20201019,20210618,3.0,IFc3,
5672,IF2103.CFX,20210317,5053.2,5051.6,5041.0,5112.0,4997.0,5074.2,5081.6,22.6,30.0,108935.0,16552070.232,85825.0,-12262.0,IF,20200720,20210319,1.0,IFc1,
7629,IF2104.CFX,20210317,5032.6,5030.8,5014.0,5084.0,4975.8,5039.0,5048.0,8.2,17.2,37635.0,5690417.687999999,51781.0,17458.0,IF,20210222,20210416,2.0,IFc2,
6336,IF2106.CFX,20210317,4971.0,4970.8,4964.4,5023.4,4916.6,4978.0,4985.8,7.2,15.0,25533.0,3814007.268,68745.0,3872.0,IF,20201019,20210618,3.0,IFc3,
5673,IF2103.CFX,20210318,5074.2,5081.6,5098.0,5150.0,5097.2,5134.8,5122.6,53.2,41.0,78755.0,12095798.646,41604.0,-44221.0,IF,20200720,20210319,1.0,IFc1,
7630,IF2104.CFX,20210318,5039.0,5048.0,5053.4,5119.8,5053.0,5079.4,5072.6,31.4,24.6,70918.0,10813018.41,85384.0,33603.0,IF,20210222,20210416,2.0,IFc2,
6337,IF2106.CFX,20210318,4978.0,4985.8,5006.8,5046.6,4990.0,5011.0,5004.6,25.2,18.8,25717.0,3871552.3019999997,71265.0,2520.0,IF,20201019,20210618,3.0,IFc3,
7631,IF2104.CFX,20210319,5079.4,5072.6,5016.0,5029.0,4902.0,4941.0,4928.8,-131.6,-143.8,118670.0,17693435.16,115031.0,29647.0,IF,20210222,20210416,1.0,IFc1,
6338,IF2106.CFX,20210319,5011.0,5004.6,4950.0,4964.0,4836.8,4870.6,4860.2,-134.0,-144.4,32665.0,4801729.584,76760.0,5495.0,IF,20201019,20210618,2.0,IFc2,
7243,IF2109.CFX,20210319,4920.0,4913.4,4860.8,4871.4,4762.4,4784.0,4777.4,-129.4,-136.0,8657.0,1247447.25,25460.0,2694.0,IF,20210118,20210917,3.0,IFc3,1.0
7632,IF2104.CFX,20210322,4941.0,4928.8,4950.0,5017.8,4924.4,5000.6,4999.0,71.8,70.2,99348.0,14865741.654000001,108183.0,-6848.0,IF,20210222,20210416,1.0,IFc1,
8136,IF2105.CFX,20210322,,4928.8,4924.6,4985.2,4895.4,4969.2,4968.6,40.4,39.8,1163.0,172782.77399999998,1096.0,,IF,20210322,20210521,2.0,IFc2,
6339,IF2106.CFX,20210322,4870.6,4860.2,4882.8,4948.2,4855.0,4930.0,4928.6,69.8,68.4,22198.0,3275761.812,73797.0,-2963.0,IF,20201019,20210618,3.0,IFc3,
